Unnamed: 0,title,price,city,datetime,nb_rooms,nb_baths,surface_area,equipement,link
12,Appartement à vendre 128 m² à Casablanca,2970000.0,Casablanca,2024-11-06 11:55:16,3,2,139.0,"Ascenseur, Balcon, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/anfa/appartements/Appartement_%C3%A0_vendre_128_m%C2%B2_%C3%A0_Casablanca_55679737.htm
13,Appartement à vendre 84 m² à Casablanca,1478000.0,Casablanca,2024-11-06 11:47:50,2,2,84.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/franceville/appartements/Appartement_%C3%A0_vendre_84_m%C2%B2_%C3%A0_Casablanca_55021228.htm
14,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/jX8?utm_source=avito_integration&utm_medium=listing_integration
15,Appartement à vendre 87 m² à Casablanca,696000.0,Casablanca,2024-11-06 11:43:16,2,2,87.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_87_m%C2%B2_%C3%A0_Casablanca_55342053.htm
16,Appartement à vendre 170 m² à Casablanca,1870000.0,Casablanca,2024-11-06 11:41:06,3,2,0.0,"Ascenseur, Parking, Sécurité",https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_170_m%C2%B2_%C3%A0_Casablanca_54461001.htm
17,Appartement à vendre 105 m² à Casablanca,2200000.0,Casablanca,2024-11-06 11:40:20,2,2,108.0,"Ascenseur, Balcon, Climatisation, Concierge, Cuisine Équipée, Parking",https://www.avito.ma/fr/triangle_d'or/appartements/Appartement_%C3%A0_vendre_105_m%C2%B2_%C3%A0_Casablanca_55697004.htm
18,Appartement à vendre 115 m² à Casablanca,1700000.0,Casablanca,2024-11-06 11:35:59,2,2,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_%C3%A0_vendre_115_m%C2%B2_%C3%A0_Casablanca_55194354.htm
19,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/jhh?utm_source=avito_integration&utm_medium=listing_integration
20,Appartement à vendre 117 m² à Casablanca,17500.0,Casablanca,2024-11-06 11:27:32,3,2,117.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/val_fleuri/appartements/Appartement_%C3%A0_vendre_117_m%C2%B2_%C3%A0_Casablanca_55198769.htm
21,CMN-MA-1757 - Appartement à vendre à Palmier,1500000.0,Casablanca,2024-11-06 11:22:18,2,1,98.0,Ascenseur,https://www.avito.ma/fr/palmier/appartements/CMN_MA_1757___Appartement_%C3%A0_vendre_%C3%A0_Palmier_55655491.htm
22,Appartement à vendre 110 m² à Casablanca,1250000.0,Casablanca,2024-11-06 11:26:55,3,1,110.0,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/abdelmoumen/appartements/Appartement_%C3%A0_vendre_110_m%C2%B2_%C3%A0_Casablanca_55368317.htm
23,CMN-AC-1554 - Appartement à vendre à Mandarona,1700000.0,Casablanca,2024-11-06 11:09:42,3,2,108.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/mandarona/appartements/CMN_AC_1554___Appartement_%C3%A0_vendre_%C3%A0_Mandarona_55109116.htm
24,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/joX?utm_source=avito_integration&utm_medium=listing_integration
25,Jolie Appartement à vendre 131 m² à Casablanca,1780000.0,Casablanca,2024-11-06 11:11:24,3,2,0.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/maarif/appartements/Jolie_Appartement_%C3%A0_vendre_131_m%C2%B2_%C3%A0_Casablanca_55644011.htm
26,CMN-MA-1678 - Appartement à vendre à Les princesses,1550000.0,Casablanca,2024-11-06 11:03:50,2,2,113.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/les_princesses/appartements/CMN_MA_1678___Appartement_%C3%A0_vendre_%C3%A0_Les_princesses_55498854.htm
27,CMN-AS-1422 - Appartement à vendre à Hay Palestine,820000.0,Casablanca,2024-11-06 11:03:07,2,1,75.0,Ascenseur,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/CMN_AS_1422___Appartement_%C3%A0_vendre_%C3%A0_Hay_Palestine_54790897.htm
28,Appartement à vendre 86 m² à Casablanca Oasis,1690000.0,Casablanca,2024-11-06 11:01:18,2,2,0.0,"Ascenseur, Balcon, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/oasis/appartements/Appartement_%C3%A0_vendre_86_m%C2%B2_%C3%A0_Casablanca_Oasis_54644997.htm
29,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/jf0?utm_source=avito_integration&utm_medium=listing_integration
30,Appartement à vendre 64 m² à Casablanca,1050000.0,Casablanca,2024-11-06 10:57:27,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Casablanca_37621456.htm
31,Appartement à vendre 115 m² à Casablanca,1700000.0,Casablanca,2024-11-06 10:57:38,3,3,0.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_115_m%C2%B2_%C3%A0_Casablanca_55471363.htm
32,Appartement à vendre 66 m² à Casablanca,520000.0,Casablanca,2024-11-06 10:59:55,2,2,0.0,Balcon,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_66_m%C2%B2_%C3%A0_Casablanca_55738632.htm
33,Appartement à vendre 94 m² à Marrakech,1050000.0,Marrakech,2024-11-06 10:59:54,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_94_m%C2%B2_%C3%A0_Marrakech_54614980.htm
34,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/jX9?utm_source=avito_integration&utm_medium=listing_integration
35,Appartement à vendre 43 m² à Casablanca,1000000.0,Casablanca,2024-11-06 10:58:43,1,1,43.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/les_princesses/appartements/Appartement_%C3%A0_vendre_43_m%C2%B2_%C3%A0_Casablanca_55669969.htm
36,Appartement à vendre 94 m² à Casablanca,750000.0,Casablanca,2024-11-06 10:58:11,3,2,83.0,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_94_m%C2%B2_%C3%A0_Casablanca_55613938.htm
37,CMN-AC-1599 - Appartement à vendre à Californie,1250000.0,Casablanca,2024-11-06 10:53:25,2,2,88.0,Ascenseur,https://www.avito.ma/fr/californie/appartements/CMN_AC_1599___Appartement_%C3%A0_vendre_%C3%A0_Californie_55180275.htm
38,Appartement à vendre 157 m² à Casablanca,1050000.0,Casablanca,2024-11-06 10:57:11,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_157_m%C2%B2_%C3%A0_Casablanca_54743695.htm
39,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/jUi?utm_source=avito_integration&utm_medium=listing_integration
40,Appartement à vendre 55 m² à Casablanca,1300000.0,Casablanca,2024-11-06 10:56:10,1,1,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_55_m%C2%B2_%C3%A0_Casablanca_55669975.htm
41,Appartement à vendre 42 m² à Casablanca,900000.0,Casablanca,2024-11-06 10:55:23,1,1,41.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/les_princesses/appartements/Appartement_%C3%A0_vendre_42_m%C2%B2_%C3%A0_Casablanca_55102908.htm
42,Appartement à vendre 84 m² à Casablanca,672000.0,Casablanca,2024-11-06 10:49:53,2,2,84.0,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_84_m%C2%B2_%C3%A0_Casablanca_54961114.htm
43,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/jni?utm_source=avito_integration&utm_medium=listing_integration
44,Appartement 50 m² à Casablanca,250000.0,Casablanca,2024-11-06 10:54:27,2,1,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_50_m%C2%B2_%C3%A0_Casablanca_55037752.htm
45,Appartement à vendre 98 m² à Casablanca,1000000.0,Casablanca,2024-11-06 10:46:16,2,2,98.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Casablanca_54215645.htm
46,Appartement à vendre 108 m² à Casablanca,1050000.0,Casablanca,2024-11-06 10:46:04,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/al_qods/appartements/Appartement_%C3%A0_vendre_108_m%C2%B2_%C3%A0_Casablanca_55742873.htm
47,Appartement dans une villa à Issil,920000.0,Marrakech,2024-11-06 10:45:59,3,1,97.0,Balcon,https://www.avito.ma/fr/issil/appartements/Appartement_dans_une_villa_%C3%A0_Issil_54224783.htm
48,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/sPG?utm_source=avito_integration&utm_medium=listing_integration
49,Appartement à vendre 41 m² à Casablanca,960000.0,Casablanca,2024-11-06 10:44:35,1,1,0.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_41_m%C2%B2_%C3%A0_Casablanca_55670023.htm
50,Appartement à vendre 5 m² à Casablanca,460000.0,Casablanca,2024-11-06 10:44:08,2,1,54.0,Balcon,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_5_m%C2%B2_%C3%A0_Casablanca_55621745.htm
51,Appart 97m2 pres Mc Donald 5min Gueliz,1115500.0,Marrakech,2024-11-06 10:39:36,2,1,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/av_abdelkrim_el_khattabi/appartements/Appart_97m2_pres_Mc_Donald_5min_Gueliz_54924414.htm
52,Appartement à vendre 78 m² à Casablanca,740000.0,Casablanca,2024-11-06 10:37:35,2,2,78.0,"Balcon, Concierge, Cuisine Équipée, Sécurité, Terrasse",https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Casablanca_52503643.htm
53,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/jX9?utm_source=avito_integration&utm_medium=listing_integration
54,CMN-MA-1342 - Appartement à vendre à Bachkou,1390000.0,Casablanca,2024-11-06 10:32:26,2,1,105.0,"Ascenseur, Balcon, Terrasse",https://www.avito.ma/fr/bachkou/appartements/CMN_MA_1342___Appartement_%C3%A0_vendre_%C3%A0_Bachkou_54603815.htm
55,Appartement à vendre 69 m² à Casablanca,440000.0,Casablanca,2024-11-06 10:32:48,3,1,69.0,"Balcon, Concierge, Sécurité",https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Casablanca_38635452.htm
56,Appartement de luxe à Californie à Casablanca,3500000.0,Casablanca,2024-11-06 10:30:11,4,3,187.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Meublé, Sécurité, Terrasse",https://www.avito.ma/fr/californie/appartements/_Appartement_de_luxe_%C3%A0_Californie_%C3%A0_Casablanca_55670233.htm
57,Appartement à vendre Avec Garage,1050000.0,Casablanca,2024-11-06 10:27:59,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_Avec_Garage__54700610.htm
58,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/4jR?utm_source=avito_integration&utm_medium=listing_integration
59,Appartement duplex à vendre 257 m² à Casablanca,1050000.0,Casablanca,2024-11-06 10:27:48,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/oulfa/appartements/Appartement_duplex_%C3%A0_vendre_257_m%C2%B2_%C3%A0_Casablanca_55734809.htm
60,CMN-AS-1063 - Appartement à vendre à Aïn Sebaâ,1300000.0,Casablanca,2024-11-06 10:09:07,3,2,141.0,"Ascenseur, Balcon, Terrasse",https://www.avito.ma/fr/ain_sebaa/appartements/CMN_AS_1063___Appartement_%C3%A0_vendre_%C3%A0_A%C3%AFn_Seba%C3%A2_55011389.htm
61,Appartement à vendre 165 m² à Casablanca,1200000.0,Casablanca,2024-11-06 10:09:04,2,2,210.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Duplex, Meublé, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_%C3%A0_vendre_165_m%C2%B2_%C3%A0_Casablanca_55628881.htm
62,CMN-MA-1698 - Appartement à vendre à 2 Mars,1440000.0,Casablanca,2024-11-06 09:53:06,2,2,80.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/2_mars/appartements/CMN_MA_1698___Appartement_%C3%A0_vendre_%C3%A0_2_Mars_55549534.htm
63,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/j8e?utm_source=avito_integration&utm_medium=listing_integration
64,Appartement à vendre 77 m² à Casablanca,820000.0,Casablanca,2024-11-06 09:56:10,2,2,77.0,"Ascenseur, Parking, Sécurité",https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_77_m%C2%B2_%C3%A0_Casablanca_55303733.htm
65,Appartement à vendre 137 m² à Casablanca,1050000.0,Casablanca,2024-11-06 09:54:20,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_137_m%C2%B2_%C3%A0_Casablanca_55742628.htm
66,Appartement à vendre 101 m² à Casablanca,808000.0,Casablanca,2024-11-06 09:48:04,3,2,101.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_101_m%C2%B2_%C3%A0_Casablanca_55613556.htm
67,1 appartement par étage de 3 chambres,2850000.0,Casablanca,2024-11-06 09:51:02,3,2,0.0,"Ascenseur, Balcon, Climatisation, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/oasis/appartements/1_appartement_par_%C3%A9tage_de_3_chambres__55657154.htm
68,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/jiE?utm_source=avito_integration&utm_medium=listing_integration
69,Appartement à vendre 85 m² à Casablanca,1050000.0,Casablanca,2024-11-06 09:46:18,2,2,113.0,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_85_m%C2%B2_%C3%A0_Casablanca_54294327.htm
70,Appartement à vendre 108 m² à Casablanca,1850000.0,Casablanca,2024-11-06 09:45:45,2,2,115.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_108_m%C2%B2_%C3%A0_Casablanca_54318662.htm
71,Appartement à vendre 36 m² à Casablanca,980000.0,Casablanca,2024-11-06 09:33:17,1,1,53.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_36_m%C2%B2_%C3%A0_Casablanca_55452214.htm
72,Appartement à vendre 121 m² à Casablanca,2250000.0,Casablanca,2024-11-06 09:10:57,3,3,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_%C3%A0_vendre_121_m%C2%B2_%C3%A0_Casablanca_55223847.htm
73,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/j0x?utm_source=avito_integration&utm_medium=listing_integration
74,CMN-AN-1638 - Appartement à vendre à Bourgogne,1300000.0,Casablanca,2024-11-06 09:03:42,2,1,94.0,"Ascenseur, Balcon, Terrasse",https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1638___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_55392350.htm
75,CMN-ME-1284 - Appartement à vendre à La Gironde,880000.0,Casablanca,2024-11-06 08:57:59,2,2,75.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/la_gironde/appartements/CMN_ME_1284___Appartement_%C3%A0_vendre_%C3%A0_La_Gironde_54561889.htm
76,Appartement à vendre 144 m² à Rabat,3300000.0,Rabat,2024-11-06 08:54:18,3,3,144.0,"Ascenseur, Balcon, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_144_m%C2%B2_%C3%A0_Rabat_55223052.htm
77,Appartement à vendre 50 m² à Casablanca,1100000.0,Casablanca,2024-11-06 08:51:24,1,1,50.0,"Ascenseur, Balcon, Chauffage, Climatisation, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55506056.htm
78,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/ixl?utm_source=avito_integration&utm_medium=listing_integration
79,CMN-SI-1650 - Appartement à vendre à Bourgogne Est,1250000.0,Casablanca,2024-11-06 08:46:16,2,1,74.0,"Ascenseur, Balcon, Terrasse",https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1650___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_Est_55653633.htm
80,Appartement à vendre 79 m² à Casablanca,580000.0,Casablanca,2024-11-06 08:40:22,2,1,79.0,"Balcon, Cuisine Équipée, Parking, Terrasse",https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_vendre_79_m%C2%B2_%C3%A0_Casablanca_55223183.htm
81,Appartement à vendre 44 m² à Casablanca,864000.0,Casablanca,2024-11-06 08:31:07,1,1,44.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_44_m%C2%B2_%C3%A0_Casablanca_55449791.htm
82,CMN-MA-1755 - Appartement à vendre à Racine,1400000.0,Casablanca,2024-11-06 08:24:52,1,1,58.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/racine/appartements/CMN_MA_1755___Appartement_%C3%A0_vendre_%C3%A0_Racine_55650826.htm
83,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/j9b?utm_source=avito_integration&utm_medium=listing_integration
84,Appartement à vendre 103 m² à Marrakech,1050000.0,Marrakech,2024-11-06 08:29:38,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_103_m%C2%B2_%C3%A0_Marrakech_55035347.htm
85,Appartement à vendre 108 m² à Nouaceur,1039000.0,Nouaceur,2024-11-06 05:51:40,2,2,108.0,"Ascenseur, Balcon, Climatisation, Concierge, Parking, Sécurité",https://www.avito.ma/fr/nouaceur/appartements/Appartement_%C3%A0_vendre_108_m%C2%B2_%C3%A0_Nouaceur_55658309.htm
86,Appartement à vendre 168 m² à Casablanca,2730000.0,Casablanca,2024-11-06 01:32:20,3,3,168.0,"Ascenseur, Balcon, Concierge, Parking, Terrasse",https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_168_m%C2%B2_%C3%A0_Casablanca_55742247.htm
87,Appartement à vendre 50 m² à Casablanca,1050000.0,Casablanca,2024-10-04 12:22:09,0,0,0.0,"Ascenseur, Balcon, Parking, Terrasse",https://immoneuf.avito.ma/fr/unite/4jd?utm_source=avito_integration&utm_medium=listing_integration
88,Appartement à vendre 102 m² à Casablanca,1170000.0,Casablanca,2024-11-06 00:56:06,3,2,102.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_102_m%C2%B2_%C3%A0_Casablanca_54908391.htm
89,Appartement à vendre 79 m² à Casablanca,890000.0,Casablanca,2024-11-06 00:55:33,2,2,79.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_79_m%C2%B2_%C3%A0_Casablanca_54931023.htm
90,Appartement 127m2 à Les Princesses Casablanca,21600000.0,Casablanca,2024-11-06 00:54:58,3,2,127.0,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/maarif/appartements/Appartement_127m2_%C3%A0_Les_Princesses_Casablanca__50660949.htm
91,Appartement à vendre 56 m² à Casablanca,33000.0,Casablanca,2024-11-06 00:13:00,2,1,56.0,"Chauffage, Concierge, Cuisine Équipée",https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_56_m%C2%B2_%C3%A0_Casablanca_55742194.htm
